Video Details,HEVC
"VideoS13 (.mov, 16.58 s, 10.91 MB)",3.8987673319442324
"VideoS14 (.mov, 258.69 s, 54.36 MB)",3.577351771750348
"VideoS15 (.mov, 100.12 s, 30.91 MB)",3.5734904348918914
"videoS25 (.mov, 46.61 s, 16.71 MB)",4.095455423063312
"videoS1 (.mp4, 139.27 s, 53.09 MB)",3.278048865802683
"VideoS16 (.mp4, 59.99 s, 4.31 MB)",1.4005798373282365
"VideoS17 (.mp4, 46.78 s, 3.31 MB)",1.7342381821383406
"VideoS18 (.mp4, 8.50 s, 1.72 MB)",1.2511257795191313
"videoS2 (.mp4, 14.84 s, 7.60 MB)",2.1303807060804716
"videoS3 (.mp4, 111.18 s, 25.25 MB)",4.280787861985126
"videoS22 (.webm, 21.95 s, 22.40 MB)",5.6853900023096395
"videoS23 (.webm, 30.08 s, 18.05 MB)",19.687458330169633
"videoS24 (.webm, 30.08 s, 17.94 MB)",10.771558381929122
"VideoS7 (.webm, 299.27 s, 30.20 MB)",2.0594289375207033
"VideoS8 (.webm, 181.33 s, 20.24 MB)",2.6802806722757
"VideoS9 (.webm, 186.56 s, 23.40 MB)",2.5054991985461523
"videoS19 (.mkv, 21.95 s, 81.65 MB)",19.52543184221587
"videoS20 (.mkv, 30.08 s, 28.28 MB)",39.252066197759255
"videoS21 (.mkv, 30.08 s, 28.09 MB)",16.679144490997622
"videoS4 (.mkv, 130.52 s, 40.62 MB)",4.449976191874064
"videoS6 (.mkv, 270.79 s, 38.80 MB)",3.034803798052817
"VideoS10 (.avi, 202.66 s, 10.49 MB)",1.013807272303901
"VideoS11 (.avi, 264.91 s, 35.72 MB)",1.6083508643348041
"VideoS12 (.avi, 10.76 s, 3.05 MB)",1.5336326959239523
