Video Details,HEVC
"clip_mov_20251023-071239_72a105_yuv420p (.mov, 7.01 s, 2.09 MB)",49.09154415130615
"clip_mov_20251023-071259_cf243b_yuv420p (.mov, 15.00 s, 2.67 MB)",73.17825222015381
"clip_mov_20251023-071246_6a6195_yuv420p (.mov, 11.01 s, 5.84 MB)",44.996309757232666
"clip_mov_20251023-071400_a4922e_yuv420p (.mov, 12.00 s, 3.94 MB)",84.26714515686035
"clip_mov_20251023-071344_1bd9ce_yuv420p (.mov, 7.01 s, 2.60 MB)",48.70839166641235
"clip_mov_20251023-071309_a1b506_yuv420p (.mov, 7.01 s, 1.60 MB)",34.52829694747925
"sports_clip_mov_20251023-070816_4b98b5_yuv420p (.mov, 7.01 s, 3.00 MB)",62.19417691230774
"clip_mov_20251023-071330_bc8c98_yuv420p (.mov, 13.05 s, 3.40 MB)",64.24088978767395
"clip_mov_20251023-071352_64de6d_yuv420p (.mov, 8.05 s, 1.97 MB)",42.927406311035156
"clip_mov_20251023-071318_11bf9e_yuv420p (.mov, 15.05 s, 2.36 MB)",73.32366919517517
"clip_mp4_20251023-070936_43f4ab_yuv420p (.mp4, 16.02 s, 6.57 MB)",137.59274458885193
"clip_mp4_20251023-071001_6799fa_yuv420p (.mp4, 5.02 s, 0.30 MB)",17.70172643661499
"clip_mp4_20251023-070846_aebefc_yuv420p (.mp4, 13.00 s, 2.76 MB)",53.28154134750366
"clip_mp4_20251023-070917_49e3e3_yuv420p (.mp4, 15.05 s, 2.67 MB)",71.09937787055969
"clip_mp4_20251023-071005_06f76c_yuv420p (.mp4, 14.05 s, 1.48 MB)",17.70045018196106
"clip_mp4_20251023-070929_a9842d_yuv420p (.mp4, 6.01 s, 0.40 MB)",20.127861499786377
"clip_mp4_20251023-070857_450ba3_yuv420p (.mp4, 12.00 s, 3.60 MB)",111.73786449432373
"clip_mp4_20251023-071009_5620f8_yuv420p (.mp4, 14.01 s, 2.72 MB)",84.3920316696167
"sports_clip_mp4_20251023-070827_06482a_yuv420p (.mp4, 19.02 s, 7.01 MB)",135.72653460502625
"clip_mp4_20251023-071022_afcacd_yuv420p (.mp4, 15.00 s, 3.30 MB)",64.67154884338379
"clip_mkv_20251023-071127_15b384_yuv420p (.mkv, 19.05 s, 7.73 MB)",119.11417269706726
"clip_mkv_20251023-071051_3658c6_yuv420p (.mkv, 5.04 s, 0.42 MB)",8.342995405197144
"sports_clip_mkv_20251023-070822_edd585_yuv420p (.mkv, 6.04 s, 0.38 MB)",8.243044137954712
"clip_mkv_20251023-071231_6dbc90_yuv420p (.mkv, 6.04 s, 1.92 MB)",35.59660577774048
"clip_mkv_20251023-071210_9a30fd_yuv420p (.mkv, 19.05 s, 5.77 MB)",75.45742344856262
"clip_mkv_20251023-071035_d249ca_yuv420p (.mkv, 13.04 s, 4.82 MB)",83.82133960723877
"clip_mkv_20251023-071150_a7f1a8_yuv420p (.mkv, 15.09 s, 2.30 MB)",71.62186479568481
"clip_mkv_20251023-071159_8d067e_yuv420p (.mkv, 13.06 s, 2.63 MB)",79.96917366981506
"clip_mkv_20251023-071108_f93399_yuv420p (.mkv, 17.05 s, 5.52 MB)",89.31505274772644
"clip_mkv_20251023-071053_5998af_yuv420p (.mkv, 15.06 s, 3.21 MB)",82.66844844818115
"clip_avi_20251023-071415_1287e5_yuv420p (.avi, 6.16 s, 2.50 MB)",15.376063585281372
"clip_avi_20251023-071442_3da06b_yuv420p (.avi, 8.18 s, 2.92 MB)",19.735928535461426
"clip_avi_20251023-071436_a8d4b1_yuv420p (.avi, 18.23 s, 7.52 MB)",46.244348764419556
"clip_avi_20251023-071449_96a2cd_yuv420p (.avi, 9.17 s, 5.25 MB)",25.296446561813354
"clip_avi_20251023-071445_4204a6_yuv420p (.avi, 15.20 s, 3.07 MB)",28.52335548400879
"clip_avi_20251023-071420_7b94dc_yuv420p (.avi, 7.16 s, 7.21 MB)",20.242038011550903
"clip_avi_20251023-071417_c8d25f_yuv420p (.avi, 13.17 s, 3.20 MB)",27.312673330307007
"clip_avi_20251023-071427_9a8315_yuv420p (.avi, 20.17 s, 9.32 MB)",51.48518657684326
"clip_avi_20251023-071423_451fea_yuv420p (.avi, 10.16 s, 4.30 MB)",19.89273762702942
"sports_clip_avi_20251023-070824_00d450_yuv420p (.avi, 18.18 s, 9.39 MB)",40.36766171455383
